"Date","Price","Open","High","Low","Vol.","Change %"
"20-02-2026","26.25","26.50","26.68","26.00","17.44M","-1.83%"
"19-02-2026","26.74","27.30","27.43","26.65","21.69M","-2.52%"
"18-02-2026","27.43","27.33","27.90","27.23","24.49M","0.37%"
"17-02-2026","27.33","26.80","27.50","26.70","36.85M","2.51%"
"16-02-2026","26.66","26.80","26.85","26.33","22.53M","-0.52%"
"13-02-2026","26.80","27.41","27.42","26.70","24.37M","-2.93%"
"12-02-2026","27.61","27.75","27.80","27.13","23.12M","-0.90%"
"11-02-2026","27.86","28.55","28.58","27.73","29.50M","-2.11%"
"10-02-2026","28.46","28.50","29.45","28.25","33.12M","0.11%"
"09-02-2026","28.43","28.50","28.85","27.86","37.95M","1.61%"
"06-02-2026","27.98","27.85","28.09","27.30","36.27M","-0.50%"
"05-02-2026","28.12","29.14","29.18","27.86","57.78M","-2.83%"
"04-02-2026","28.94","27.96","31.90","27.68","254.95M","2.73%"
"03-02-2026","28.17","28.20","28.40","27.14","46.51M","5.03%"
"02-02-2026","26.82","27.20","27.29","25.92","51.17M","-1.61%"
"01-02-2026","27.26","28.30","28.30","27.11","19.78M","-3.50%"
"30-01-2026","28.25","27.77","28.70","27.10","49.79M","1.73%"
"29-01-2026","27.77","29.70","29.96","27.61","46.97M","-5.54%"
"28-01-2026","29.40","27.81","29.68","27.55","63.74M","7.18%"
"27-01-2026","27.43","28.00","28.50","26.83","59.31M","-2.97%"
"23-01-2026","28.27","30.40","30.40","28.00","54.02M","-5.67%"
"22-01-2026","29.97","30.04","30.39","29.43","28.52M","1.22%"
"21-01-2026","29.61","30.00","30.38","29.40","58.17M","-1.07%"
"20-01-2026","29.93","31.25","31.37","29.75","49.69M","-3.79%"
"19-01-2026","31.11","31.98","32.14","31.00","35.06M","-2.42%"
"16-01-2026","31.88","31.57","32.65","31.57","45.35M","-3.92%"
"14-01-2026","33.18","33.40","33.80","33.02","18.41M","-0.84%"
"13-01-2026","33.46","33.90","34.22","33.14","39.00M","0.15%"
"12-01-2026","33.41","33.88","33.88","32.63","30.50M","-1.39%"
"09-01-2026","33.88","34.24","34.69","33.70","25.56M","-1.34%"
"08-01-2026","34.34","35.02","35.28","34.20","19.61M","-1.94%"
"07-01-2026","35.02","35.17","35.24","34.75","14.89M","-0.37%"
"06-01-2026","35.15","35.85","35.97","35.04","19.16M","-1.95%"
"05-01-2026","35.85","35.93","36.41","35.12","27.31M","-0.22%"
"02-01-2026","35.93","34.79","36.20","34.65","38.88M","3.49%"
"01-01-2026","34.72","35.36","35.52","34.55","27.72M","-0.37%"
"31-12-2025","34.85","34.00","35.20","33.93","46.88M","3.54%"
"30-12-2025","33.66","35.70","35.70","33.35","99.22M","-4.65%"
"29-12-2025","35.30","36.55","36.95","35.10","40.80M","-3.39%"
"26-12-2025","36.54","38.35","38.55","36.26","50.05M","-4.25%"
"24-12-2025","38.16","36.29","38.70","36.14","79.20M","5.18%"
"23-12-2025","36.28","35.45","36.89","34.59","81.29M","2.83%"
"22-12-2025","35.28","38.30","38.31","35.00","87.98M","-8.51%"
"19-12-2025","38.56","38.00","38.85","37.68","52.17M","2.06%"
"18-12-2025","37.78","36.19","39.39","35.69","150.05M","5.86%"
"17-12-2025","35.69","34.83","37.43","34.50","137.65M","3.12%"
"16-12-2025","34.61","34.25","35.45","34.11","39.45M","0.76%"
"15-12-2025","34.35","34.31","35.07","34.03","33.82M","-0.52%"
"12-12-2025","34.53","34.05","34.70","33.66","36.92M","2.95%"
"11-12-2025","33.54","33.98","34.20","32.40","58.07M","-1.29%"
"10-12-2025","33.98","35.45","36.04","33.75","47.37M","-4.60%"
"09-12-2025","35.62","35.40","36.11","34.50","39.90M","0.62%"
"08-12-2025","35.40","37.00","37.20","35.11","47.51M","-6.05%"
"05-12-2025","37.68","38.29","38.30","37.40","15.69M","-1.31%"
"04-12-2025","38.18","38.80","38.90","37.93","19.76M","-0.60%"
"03-12-2025","38.41","38.76","39.06","38.05","19.04M","-1.26%"
"02-12-2025","38.90","38.81","39.62","38.45","23.04M","-0.05%"
"01-12-2025","38.92","39.86","40.13","38.80","21.12M","-2.58%"
"28-11-2025","39.95","40.00","40.49","39.21","39.22M","-0.65%"
"27-11-2025","40.21","40.00","40.80","39.51","65.44M","1.85%"
"26-11-2025","39.48","37.21","39.79","37.21","87.19M","6.13%"
"25-11-2025","37.20","37.00","37.86","36.83","30.13M","0.43%"
"24-11-2025","37.04","39.14","39.25","36.70","35.05M","-4.63%"
"21-11-2025","38.84","39.99","39.99","38.75","24.16M","-1.22%"
"20-11-2025","39.32","40.50","41.75","39.00","57.71M","-1.53%"
"19-11-2025","39.93","40.20","40.42","39.63","25.94M","-0.32%"
"18-11-2025","40.06","41.10","41.23","40.00","22.52M","-1.96%"
"17-11-2025","40.86","41.74","42.38","40.70","35.60M","-1.14%"
"14-11-2025","41.33","41.12","41.77","41.00","20.73M","0.17%"
"13-11-2025","41.26","41.88","42.59","41.00","42.50M","-1.08%"
"12-11-2025","41.71","41.70","42.87","41.50","48.74M","1.26%"
"11-11-2025","41.19","41.00","41.73","39.92","61.74M","0.22%"
"10-11-2025","41.10","39.20","42.30","38.00","107.66M","4.87%"
"07-11-2025","39.19","41.24","41.24","39.00","47.89M","-4.58%"
"06-11-2025","41.07","40.15","41.75","38.50","116.77M","0.86%"
"04-11-2025","40.72","43.02","43.37","40.40","89.47M","-7.22%"
"03-11-2025","43.89","46.00","46.58","43.05","71.98M","-5.45%"
"31-10-2025","46.42","46.30","47.60","45.60","33.05M","-0.28%"
"30-10-2025","46.55","45.94","47.75","45.60","37.97M","0.54%"
"29-10-2025","46.30","43.68","47.60","43.31","86.78M","6.00%"
"28-10-2025","43.68","44.70","45.09","43.27","19.64M","-2.13%"
"27-10-2025","44.63","45.15","45.73","44.50","18.89M","-1.26%"
"24-10-2025","45.20","45.30","45.35","44.80","12.84M","0.27%"
"23-10-2025","45.08","44.55","46.58","44.41","32.79M","1.58%"
"21-10-2025","44.38","44.16","44.80","44.16","4.19M","0.50%"
"20-10-2025","44.16","45.00","45.07","44.04","13.56M","-1.08%"
"17-10-2025","44.64","45.30","45.48","44.50","12.41M","-0.91%"
"16-10-2025","45.05","45.25","46.08","44.40","17.65M","0.36%"
"15-10-2025","44.89","45.00","46.40","44.40","28.90M","-0.47%"
"14-10-2025","45.10","46.56","46.71","44.71","25.30M","-2.42%"
"13-10-2025","46.22","43.55","47.51","43.55","82.07M","-4.86%"
"10-10-2025","48.58","44.10","50.73","44.10","119.82M","9.29%"
"09-10-2025","44.45","44.90","44.94","43.75","13.59M","-0.76%"
"08-10-2025","44.79","45.54","46.00","44.38","18.73M","0.52%"
"07-10-2025","44.56","45.00","45.29","44.40","10.62M","-1.74%"
