"Date","Price","Open","High","Low","Vol.","Change %"
"13-02-2026","26.80","27.41","27.42","26.70","24.37M","-2.93%"
"12-02-2026","27.61","27.75","27.80","27.13","23.12M","-0.90%"
"11-02-2026","27.86","28.55","28.58","27.73","29.50M","-2.11%"
"10-02-2026","28.46","28.50","29.45","28.25","33.12M","0.11%"
"09-02-2026","28.43","28.50","28.85","27.86","37.95M","1.61%"
"06-02-2026","27.98","27.85","28.09","27.30","36.27M","-0.50%"
"05-02-2026","28.12","29.14","29.18","27.86","57.78M","-2.83%"
"04-02-2026","28.94","27.96","31.90","27.68","254.95M","2.73%"
"03-02-2026","28.17","28.20","28.40","27.14","46.51M","5.03%"
"02-02-2026","26.82","27.20","27.29","25.92","51.17M","-1.61%"
"01-02-2026","27.26","28.30","28.30","27.11","19.78M","-3.50%"
"30-01-2026","28.25","27.77","28.70","27.10","49.79M","1.73%"
"29-01-2026","27.77","29.70","29.96","27.61","46.97M","-5.54%"
"28-01-2026","29.40","27.81","29.68","27.55","63.74M","7.18%"
"27-01-2026","27.43","28.00","28.50","26.83","59.31M","-2.97%"
"23-01-2026","28.27","30.40","30.40","28.00","54.02M","-5.67%"
"22-01-2026","29.97","30.04","30.39","29.43","28.52M","1.22%"
"21-01-2026","29.61","30.00","30.38","29.40","58.17M","-1.07%"
"20-01-2026","29.93","31.25","31.37","29.75","49.69M","-3.79%"
"19-01-2026","31.11","31.98","32.14","31.00","35.06M","-2.42%"
"16-01-2026","31.88","31.57","32.65","31.57","45.35M","-3.92%"
"14-01-2026","33.18","33.40","33.80","33.02","18.41M","-0.84%"
"13-01-2026","33.46","33.90","34.22","33.14","39.00M","0.15%"
"12-01-2026","33.41","33.88","33.88","32.63","30.50M","-1.39%"
"09-01-2026","33.88","34.24","34.69","33.70","25.56M","-1.34%"
"08-01-2026","34.34","35.02","35.28","34.20","19.61M","-1.94%"
"07-01-2026","35.02","35.17","35.24","34.75","14.89M","-0.37%"
"06-01-2026","35.15","35.85","35.97","35.04","19.16M","-1.95%"
"05-01-2026","35.85","35.93","36.41","35.12","27.31M","-0.22%"
"02-01-2026","35.93","34.79","36.20","34.65","38.88M","3.49%"
"01-01-2026","34.72","35.36","35.52","34.55","27.72M","-0.37%"
"31-12-2025","34.85","34.00","35.20","33.93","46.88M","3.54%"
"30-12-2025","33.66","35.70","35.70","33.35","99.22M","-4.65%"
"29-12-2025","35.30","36.55","36.95","35.10","40.80M","-3.39%"
